Format Version,1.23,Take Name,Sofia chen31 1e mouv_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-10-27 11.14.59.167 ,Total Frames in Take,2799,Total Exported Frames,2799,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,Prof27/10:Hip,Prof27/10:Hip,Prof27/10:Hip,Prof27/10:Hip,Prof27/10:Hip,Prof27/10:Hip,Prof27/10:Hip,Prof27/10:Ab,Prof27/10:Ab,Prof27/10:Ab,Prof27/10:Ab,Prof27/10:Ab,Prof27/10:Ab,Prof27/10:Ab,Prof27/10:Chest,Prof27/10:Chest,Prof27/10:Chest,Prof27/10:Chest,Prof27/10:Chest,Prof27/10:Chest,Prof27/10:Chest,Prof27/10:Neck,Prof27/10:Neck,Prof27/10:Neck,Prof27/10:Neck,Prof27/10:Neck,Prof27/10:Neck,Prof27/10:Neck,Prof27/10:Head,Prof27/10:Head,Prof27/10:Head,Prof27/10:Head,Prof27/10:Head,Prof27/10:Head,Prof27/10:Head,Prof27/10:LShoulder,Prof27/10:LShoulder,Prof27/10:LShoulder,Prof27/10:LShoulder,Prof27/10:LShoulder,Prof27/10:LShoulder,Prof27/10:LShoulder,Prof27/10:LUArm,Prof27/10:LUArm,Prof27/10:LUArm,Prof27/10:LUArm,Prof27/10:LUArm,Prof27/10:LUArm,Prof27/10:LUArm,Prof27/10:LFArm,Prof27/10:LFArm,Prof27/10:LFArm,Prof27/10:LFArm,Prof27/10:LFArm,Prof27/10:LFArm,Prof27/10:LFArm,Prof27/10:LHand,Prof27/10:LHand,Prof27/10:LHand,Prof27/10:LHand,Prof27/10:LHand,Prof27/10:LHand,Prof27/10:LHand,Prof27/10:RShoulder,Prof27/10:RShoulder,Prof27/10:RShoulder,Prof27/10:RShoulder,Prof27/10:RShoulder,Prof27/10:RShoulder,Prof27/10:RShoulder,Prof27/10:RUArm,Prof27/10:RUArm,Prof27/10:RUArm,Prof27/10:RUArm,Prof27/10:RUArm,Prof27/10:RUArm,Prof27/10:RUArm,Prof27/10:RFArm,Prof27/10:RFArm,Prof27/10:RFArm,Prof27/10:RFArm,Prof27/10:RFArm,Prof27/10:RFArm,Prof27/10:RFArm,Prof27/10:RHand,Prof27/10:RHand,Prof27/10:RHand,Prof27/10:RHand,Prof27/10:RHand,Prof27/10:RHand,Prof27/10:RHand,Prof27/10:LThigh,Prof27/10:LThigh,Prof27/10:LThigh,Prof27/10:LThigh,Prof27/10:LThigh,Prof27/10:LThigh,Prof27/10:LThigh,Prof27/10:LShin,Prof27/10:LShin,Prof27/10:LShin,Prof27/10:LShin,Prof27/10:LShin,Prof27/10:LShin,Prof27/10:LShin,Prof27/10:LFoot,Prof27/10:LFoot,Prof27/10:LFoot,Prof27/10:LFoot,Prof27/10:LFoot,Prof27/10:LFoot,Prof27/10:LFoot,Prof27/10:RThigh,Prof27/10:RThigh,Prof27/10:RThigh,Prof27/10:RThigh,Prof27/10:RThigh,Prof27/10:RThigh,Prof27/10:RThigh,Prof27/10:RShin,Prof27/10:RShin,Prof27/10:RShin,Prof27/10:RShin,Prof27/10:RShin,Prof27/10:RShin,Prof27/10:RShin,Prof27/10:RFoot,Prof27/10:RFoot,Prof27/10:RFoot,Prof27/10:RFoot,Prof27/10:RFoot,Prof27/10:RFoot,Prof27/10:RFoot,Prof27/10:LToe,Prof27/10:LToe,Prof27/10:LToe,Prof27/10:LToe,Prof27/10:LToe,Prof27/10:LToe,Prof27/10:LToe,Prof27/10:RToe,Prof27/10:RToe,Prof27/10:RToe,Prof27/10:RToe,Prof27/10:RToe,Prof27/10:RToe,Prof27/10:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.015649,0.969971,-0.060412,0.235078,-0.072531,0.666888,1.686008,-0.054328,0.973907,-0.114927,0.188006,-0.072678,0.741437,1.676650,0.008705,0.981853,-0.063086,0.178632,-0.083158,0.903423,1.635757,-0.035822,0.975533,-0.215218,0.027090,-0.075153,1.103773,1.611362,-0.015623,0.985911,-0.124465,-0.110650,-0.082172,1.224615,1.534850,0.128893,0.969635,-0.017812,0.207069,-0.112365,1.060615,1.606281,0.079026,0.820913,-0.162069,0.541840,-0.229318,1.092817,1.552366,-0.270833,-0.626644,0.349493,-0.641734,-0.339927,1.080139,1.299494,-0.353510,-0.570661,0.145074,-0.726864,-0.349197,1.053899,1.063639,-0.032546,0.979628,-0.113848,0.162199,-0.043851,1.061013,1.632038,0.292168,0.935729,0.069945,0.184816,0.081630,1.074381,1.673239,0.290403,0.943527,0.159352,0.005381,0.291880,0.916164,1.757511,0.355654,0.911771,0.194416,0.066229,0.473729,0.795534,1.739691,0.139864,0.834604,0.517261,0.127732,-0.153986,0.661504,1.644396,0.049413,0.993823,-0.097705,-0.018098,-0.189209,0.513496,1.331823,-0.071726,0.986871,-0.026827,0.142204,-0.232334,0.064187,1.427929,-0.249475,0.914253,-0.141605,0.286097,0.008924,0.672272,1.727620,-0.063026,0.823858,-0.432088,0.361366,0.139336,0.381852,1.867255,-0.037511,0.797189,-0.084096,0.596666,0.036941,0.087736,2.230734,-0.025842,0.981004,0.006041,0.192162,-0.185252,0.000854,1.300613,-0.084697,0.828931,-0.077056,0.547505,0.166142,0.016913,2.203749
1,0.008333,-0.016148,0.970180,-0.060125,0.234256,-0.072326,0.667357,1.685474,-0.054767,0.974165,-0.114546,0.186769,-0.072563,0.741908,1.676140,0.008640,0.982121,-0.062856,0.177237,-0.083272,0.904041,1.635324,-0.036608,0.975652,-0.214850,0.024548,-0.075343,1.104403,1.611004,-0.015755,0.985416,-0.125137,-0.114228,-0.082824,1.225283,1.534596,0.128924,0.969802,-0.018351,0.206216,-0.112568,1.061245,1.606007,0.079200,0.821601,-0.162393,0.540674,-0.229612,1.093435,1.552283,-0.272713,-0.625675,0.350904,-0.641112,-0.340904,1.080874,1.299705,-0.355505,-0.568700,0.145202,-0.727402,-0.350080,1.054756,1.063887,-0.032700,0.979994,-0.113615,0.160109,-0.043981,1.061634,1.631569,0.288830,0.935957,0.076660,0.186237,0.081676,1.074971,1.672240,0.292653,0.942918,0.158919,-0.001883,0.292706,0.917699,1.756327,0.349501,0.914224,0.195150,0.062932,0.474305,0.796519,1.735355,0.140130,0.835018,0.516670,0.127125,-0.153848,0.661905,1.644004,0.048977,0.993822,-0.097893,-0.018337,-0.189536,0.513524,1.331660,-0.071493,0.986920,-0.026816,0.141978,-0.232236,0.064197,1.427939,-0.248521,0.914294,-0.143180,0.286012,0.009197,0.672809,1.726944,-0.063391,0.824239,-0.431528,0.361103,0.138704,0.382370,1.867380,-0.036991,0.797310,-0.083533,0.596616,0.036909,0.087748,2.230786,-0.025736,0.981079,0.005938,0.191799,-0.185242,0.000849,1.300599,-0.083863,0.828930,-0.076664,0.547691,0.166093,0.016943,2.203670
2,0.016667,-0.016466,0.970341,-0.060537,0.233459,-0.072123,0.667860,1.685100,-0.055336,0.974366,-0.114308,0.185695,-0.072400,0.742402,1.675695,0.008546,0.982334,-0.062760,0.176090,-0.083359,0.904604,1.634915,-0.037561,0.975787,-0.214320,0.022257,-0.075503,1.104972,1.610617,-0.015910,0.984940,-0.125850,-0.117480,-0.083468,1.225912,1.534354,0.128366,0.970170,-0.017938,0.204868,-0.112736,1.061812,1.605699,0.079049,0.822596,-0.159727,0.539977,-0.229966,1.093900,1.552319,-0.274484,-0.623987,0.353048,-0.640825,-0.341686,1.082172,1.299891,-0.357494,-0.566583,0.147538,-0.727609,-0.350578,1.055766,1.064104,-0.032843,0.980213,-0.113801,0.158597,-0.044090,1.062201,1.631101,0.287277,0.936580,0.077199,0.185285,0.081693,1.075540,1.671382,0.295010,0.942334,0.157748,-0.009561,0.293413,0.918957,1.755020,0.342843,0.917098,0.194641,0.059199,0.474600,0.797264,1.730821,0.140381,0.835440,0.516049,0.126596,-0.153712,0.662342,1.643769,0.048586,0.993831,-0.097945,-0.018630,-0.189832,0.513564,1.331664,-0.070702,0.987030,-0.026641,0.141642,-0.232138,0.064239,1.428011,-0.247672,0.914165,-0.144429,0.286534,0.009467,0.673378,1.726431,-0.063691,0.824676,-0.430845,0.360869,0.138111,0.382896,1.867569,-0.037878,0.797550,-0.083000,0.596314,0.036874,0.087456,2.230975,-0.024783,0.981127,0.005337,0.191696,-0.185328,0.000886,1.300606,-0.085034,0.828385,-0.074814,0.548590,0.166172,0.016902,2.203748
3,0.025000,-0.017016,0.970483,-0.060580,0.232815,-0.071903,0.668332,1.684721,-0.055793,0.974523,-0.114197,0.184802,-0.072266,0.742871,1.675291,0.008525,0.982533,-0.062396,0.175110,-0.083424,0.905152,1.634508,-0.038418,0.975859,-0.214048,0.020174,-0.075626,1.105539,1.610345,-0.016188,0.984395,-0.127195,-0.120526,-0.084026,1.226500,1.534162,0.127942,0.970406,-0.018015,0.204008,-0.112867,1.062381,1.605469,0.079071,0.823386,-0.159003,0.538981,-0.230218,1.094367,1.552297,-0.275957,-0.622916,0.353229,-0.641134,-0.342531,1.082987,1.300115,-0.359969,-0.564350,0.146440,-0.728345,-0.350858,1.056753,1.064148,-0.032771,0.980350,-0.113916,0.157677,-0.044170,1.062754,1.630734,0.287186,0.937093,0.075563,0.183496,0.081691,1.076052,1.670782,0.296586,0.942083,0.155502,-0.018340,0.293805,0.919677,1.753810,0.336325,0.920259,0.192399,0.054690,0.474620,0.797890,1.726127,0.140632,0.835838,0.515498,0.125932,-0.153544,0.662721,1.643505,0.048199,0.993840,-0.098004,-0.018846,-0.190135,0.513597,1.331621,-0.070369,0.987068,-0.026644,0.141548,-0.232060,0.064237,1.428020,-0.247046,0.913974,-0.145818,0.286980,0.009737,0.673943,1.725937,-0.064078,0.825084,-0.430254,0.360572,0.137629,0.383526,1.867891,-0.037260,0.797731,-0.083607,0.596026,0.037112,0.087713,2.231112,-0.024631,0.981188,0.005283,0.191405,-0.185315,0.000862,1.300601,-0.084556,0.829443,-0.076437,0.546839,0.166270,0.016925,2.203834
4,0.033333,-0.017743,0.970626,-0.060408,0.232209,-0.071669,0.668725,1.684348,-0.056180,0.974637,-0.113966,0.184223,-0.072149,0.743263,1.674918,0.008362,0.982629,-0.062533,0.174525,-0.083481,0.905666,1.634163,-0.039239,0.976014,-0.213342,0.018477,-0.075752,1.106046,1.609930,-0.016311,0.983937,-0.128171,-0.123184,-0.084543,1.227097,1.533934,0.127811,0.970664,-0.017962,0.202864,-0.112990,1.062879,1.605112,0.078898,0.824189,-0.157365,0.538260,-0.230474,1.094849,1.552223,-0.275810,-0.622331,0.352259,-0.642298,-0.343231,1.083976,1.300217,-0.360848,-0.563276,0.144941,-0.729041,-0.350882,1.057710,1.064217,-0.032942,0.980468,-0.114189,0.156713,-0.044263,1.063274,1.630294,0.283970,0.936876,0.083104,0.186328,0.081675,1.076600,1.670089,0.299954,0.941202,0.152609,-0.029613,0.294226,0.921029,1.753512,0.329815,0.923611,0.188753,0.050371,0.474397,0.798402,1.721204,0.140842,0.836244,0.515019,0.124960,-0.153357,0.662999,1.643241,0.047760,0.993849,-0.098087,-0.019021,-0.190499,0.513572,1.331566,-0.070165,0.987113,-0.026733,0.141313,-0.231994,0.064247,1.428040,-0.246518,0.913681,-0.147104,0.287708,0.010019,0.674452,1.725455,-0.064459,0.825318,-0.429589,0.360761,0.137194,0.384116,1.868215,-0.036907,0.797919,-0.083295,0.595840,0.037139,0.087733,2.231251,-0.024321,0.981217,0.005236,0.191294,-0.185334,0.000833,1.300609,-0.084039,0.829556,-0.076194,0.546781,0.166268,0.016939,2.203843
5,0.041667,-0.018240,0.970740,-0.060805,0.231589,-0.071430,0.669160,1.684109,-0.056721,0.974761,-0.113677,0.183581,-0.071975,0.743688,1.674605,0.008458,0.982788,-0.061822,0.173883,-0.083534,0.906183,1.633896,-0.040072,0.975975,-0.213501,0.016884,-0.075834,1.106599,1.609945,-0.016323,0.983423,-0.129925,-0.125427,-0.085001,1.227605,1.533922,0.127310,0.970740,-0.018073,0.202805,-0.113079,1.063440,1.605112,0.078635,0.825017,-0.155378,0.537606,-0.230603,1.095278,1.552233,-0.275710,-0.621802,0.350656,-0.643729,-0.343771,1.084968,1.300388,-0.359251,-0.563189,0.143316,-0.730217,-0.350572,1.058824,1.064211,-0.032961,0.980608,-0.114567,0.155550,-0.044319,1.063797,1.630206,0.280056,0.936602,0.092149,0.189354,0.081716,1.077109,1.669700,0.304481,0.939790,0.149452,-0.041842,0.294858,0.922522,1.753441,0.323116,0.927073,0.184464,0.045870,0.473821,0.798730,1.716094,0.140789,0.836634,0.514629,0.124011,-0.153167,0.663335,1.643114,0.047538,0.993860,-0.098009,-0.019427,-0.190690,0.513619,1.331624,-0.070066,0.987139,-0.026771,0.141178,-0.231942,0.064261,1.428043,-0.246017,0.913402,-0.148190,0.288465,0.010307,0.674985,1.725104,-0.064654,0.825582,-0.428942,0.360892,0.136822,0.384701,1.868554,-0.036159,0.797955,-0.082923,0.595890,0.037091,0.087761,2.231323,-0.024337,0.981267,0.005128,0.191039,-0.185330,0.000828,1.300605,-0.083380,0.829613,-0.075723,0.546860,0.166170,0.016913,2.203827
