Frame,Time (Seconds),X,Y,Z,W,X.1,Y.1,Z.1,X.2,Y.2,Z.2,W.1,X.3,Y.3,Z.3,X.4,Y.4,Z.4,W.2,X.5,Y.5,Z.5,X.6,Y.6,Z.6,W.3,X.7,Y.7,Z.7,X.8,Y.8,Z.8,W.4,X.9,Y.9,Z.9,X.10,Y.10,Z.10,W.5,X.11,Y.11,Z.11,X.12,Y.12,Z.12,W.6,X.13,Y.13,Z.13,X.14,Y.14,Z.14,W.7,X.15,Y.15,Z.15,X.16,Y.16,Z.16,W.8,X.17,Y.17,Z.17,X.18,Y.18,Z.18,W.9,X.19,Y.19,Z.19,X.20,Y.20,Z.20,W.10,X.21,Y.21,Z.21,X.22,Y.22,Z.22,W.11,X.23,Y.23,Z.23,X.24,Y.24,Z.24,W.12,X.25,Y.25,Z.25,X.26,Y.26,Z.26,W.13,X.27,Y.27,Z.27,X.28,Y.28,Z.28,W.14,X.29,Y.29,Z.29,X.30,Y.30,Z.30,W.15,X.31,Y.31,Z.31,X.32,Y.32,Z.32,W.16,X.33,Y.33,Z.33,X.34,Y.34,Z.34,W.17,X.35,Y.35,Z.35,X.36,Y.36,Z.36,W.18,X.37,Y.37,Z.37,X.38,Y.38,Z.38,W.19,X.39,Y.39,Z.39,X.40,Y.40,Z.40,W.20,X.41,Y.41,Z.41
0,0.0,-0.016617,0.976409,-0.085535,0.19757,-0.05872,0.503977,0.58783,0.008171,0.984062,-0.103532,0.144346,-0.058627,0.57162,0.575907,0.008451,0.97448,-0.187363,0.123338,-0.049766,0.760218,0.537085,-0.096682,0.990209,0.069958,-0.072421,-0.036411,0.958262,0.459738,0.038724,0.967105,0.065523,-0.242723,-0.060123,1.074426,0.462812,0.101735,0.9771,-0.110879,0.150438,-0.070508,0.932754,0.461019,0.107498,0.882362,-0.211789,0.406235,-0.144308,0.945827,0.436009,0.298725,0.780361,-0.158664,0.525952,-0.341414,0.951199,0.203679,-0.492097,-0.535764,-0.08423,-0.680957,-0.388671,1.00589,0.038238,-0.070498,0.965309,-0.219228,0.123075,-0.005665,0.934744,0.47731,0.332496,0.704314,-0.518532,-0.352863,0.070167,0.949762,0.493641,0.141078,0.386146,-0.177632,-0.894111,0.231631,0.695529,0.447252,0.000823,0.480464,0.011363,-0.876941,0.118305,0.622865,0.338325,0.381179,0.774551,0.491326,0.11564,-0.135897,0.498428,0.555751,0.047966,0.998173,-0.036725,0.001251,-0.296561,0.42208,0.269607,-0.022022,0.98784,-0.018486,-0.152792,-0.328551,0.050293,0.300294,-0.440446,0.846872,0.160829,0.250896,0.018458,0.509526,0.619909,0.045581,0.763383,-0.408829,0.498024,0.296998,0.320752,0.602594,-0.012762,0.804744,-0.160943,0.571246,0.110987,0.076339,0.819314,-0.003439,0.992538,0.001165,-0.121885,-0.3637,-0.009497,0.182224,-0.119157,0.856491,-0.05557,0.499137,0.218129,-0.005982,0.797077
1,0.008333,-0.01795,0.976391,-0.084345,0.198053,-0.058558,0.503787,0.587362,0.008589,0.984149,-0.102713,0.144314,-0.058671,0.571451,0.575561,0.008455,0.974541,-0.187274,0.122992,-0.049689,0.7603,0.537031,-0.096613,0.990175,0.070166,-0.072778,-0.036364,0.958358,0.459715,0.038555,0.966985,0.065794,-0.243156,-0.060062,1.074529,0.462847,0.101776,0.977133,-0.110955,0.15014,-0.070463,0.932853,0.461015,0.107424,0.882462,-0.211905,0.405977,-0.144276,0.945936,0.436048,0.29862,0.780458,-0.158426,0.52594,-0.341519,0.95128,0.203834,-0.491901,-0.536085,-0.084357,-0.68083,-0.388808,1.006001,0.038401,-0.070713,0.965445,-0.218853,0.122552,-0.005609,0.934832,0.477262,0.33263,0.703468,-0.519151,-0.353514,0.070239,0.949859,0.493513,0.140322,0.386786,-0.176588,-0.894161,0.231368,0.695401,0.447194,0.000949,0.480247,0.012766,-0.87704,0.118115,0.623151,0.337989,0.381098,0.774344,0.492007,0.114393,-0.135695,0.498052,0.55522,0.047863,0.998153,-0.037397,0.001405,-0.296625,0.422113,0.269117,-0.021805,0.987845,-0.018538,-0.152783,-0.328553,0.050291,0.300293,-0.440723,0.846625,0.16109,0.251078,0.01858,0.509521,0.619504,0.04519,0.762248,-0.409672,0.499103,0.297268,0.320967,0.602168,-0.012772,0.804762,-0.16101,0.5712,0.11099,0.076341,0.819323,-0.003203,0.992544,0.001179,-0.121841,-0.363723,-0.009505,0.182233,-0.119155,0.856503,-0.055607,0.499112,0.218124,-0.005992,0.797086
2,0.016667,-0.017931,0.976392,-0.084287,0.198072,-0.058488,0.503851,0.58724,0.010199,0.984263,-0.101296,0.144436,-0.0586,0.571516,0.575447,0.005263,0.974226,-0.189419,0.122381,-0.049063,0.7608,0.537474,-0.094001,0.990223,0.073167,-0.072587,-0.037002,0.958533,0.459124,0.038506,0.966875,0.066019,-0.243539,-0.060018,1.074695,0.462915,0.103447,0.977172,-0.110963,0.148732,-0.070958,0.93285,0.460634,0.107003,0.88257,-0.211587,0.40602,-0.144783,0.946216,0.435853,0.2989,0.780153,-0.157925,0.526385,-0.34206,0.951414,0.203665,-0.491854,-0.53625,-0.084462,-0.680721,-0.388951,1.006127,0.038575,-0.068069,0.965925,-0.218171,0.121477,-0.006077,0.935265,0.476717,0.332407,0.704335,-0.518786,-0.352533,0.06987,0.949843,0.492912,0.140481,0.385787,-0.176406,-0.894603,0.231511,0.695694,0.446683,0.000708,0.480017,0.013542,-0.877155,0.117904,0.623418,0.337648,0.381299,0.774174,0.492085,0.114532,-0.135625,0.498121,0.555095,0.048199,0.998132,-0.037518,0.001348,-0.296563,0.422337,0.268955,-0.021622,0.98787,-0.021202,-0.152305,-0.328716,0.05102,0.300262,-0.440607,0.846596,0.161264,0.251266,0.018648,0.509581,0.619386,0.04519,0.762479,-0.409137,0.499191,0.297312,0.320996,0.601989,-0.013702,0.803497,-0.161165,0.572914,0.111243,0.075911,0.818827,-0.003191,0.992575,0.000133,-0.121593,-0.363731,-0.009416,0.182482,-0.122419,0.856408,-0.05437,0.498622,0.218619,-0.006254,0.797146
3,0.025,-0.017838,0.976389,-0.084356,0.198068,-0.058414,0.50387,0.587118,0.010164,0.984352,-0.100873,0.144127,-0.058512,0.571534,0.575318,0.005413,0.974219,-0.189705,0.121982,-0.049026,0.760801,0.537509,-0.094081,0.990136,0.073622,-0.073205,-0.03692,0.958487,0.459048,0.038508,0.96666,0.06612,-0.244364,-0.059974,1.074744,0.462967,0.103864,0.977215,-0.110918,0.148194,-0.070888,0.932822,0.460596,0.107085,0.882608,-0.212071,0.405663,-0.144724,0.946264,0.435891,0.298995,0.780238,-0.157638,0.52629,-0.342167,0.951435,0.203843,-0.491862,-0.536338,-0.084575,-0.680633,-0.389086,1.006254,0.038761,-0.068703,0.965956,-0.218024,0.121143,-0.005995,0.935212,0.47663,0.330956,0.702773,-0.521001,-0.353747,0.069951,0.949873,0.492755,0.140104,0.385039,-0.175827,-0.895098,0.231657,0.695801,0.44633,0.000553,0.479664,0.014205,-0.877337,0.117705,0.62366,0.337295,0.381259,0.774202,0.492055,0.114607,-0.135552,0.498153,0.554972,0.048331,0.99812,-0.037681,0.0013,-0.296454,0.422328,0.268823,-0.021535,0.987869,-0.021289,-0.152306,-0.328706,0.051037,0.300256,-0.440591,0.846621,0.161074,0.25133,0.018723,0.509587,0.619264,0.045204,0.76242,-0.409191,0.499234,0.29736,0.320951,0.601989,-0.013642,0.803501,-0.161136,0.572918,0.11125,0.075908,0.818829,-0.003124,0.99257,0.000146,-0.121632,-0.363729,-0.009418,0.182488,-0.122423,0.856411,-0.05424,0.498629,0.218621,-0.006261,0.79714
4,0.033333,-0.017869,0.976385,-0.08434,0.198092,-0.058353,0.503913,0.587007,0.010219,0.984394,-0.100726,0.143936,-0.058454,0.571578,0.575209,0.005559,0.974289,-0.189507,0.121727,-0.048962,0.76089,0.53745,-0.094104,0.990107,0.073658,-0.07353,-0.036826,0.958607,0.459072,0.03834,0.966548,0.066358,-0.24477,-0.059884,1.074839,0.463007,0.10367,0.977256,-0.110955,0.148028,-0.070801,0.932953,0.460624,0.107042,0.882702,-0.212191,0.405407,-0.144652,0.946367,0.435946,0.299017,0.780354,-0.157436,0.526165,-0.342227,0.951524,0.204011,-0.491786,-0.536617,-0.084818,-0.680438,-0.389205,1.006429,0.038914,-0.068748,0.966044,-0.217807,0.120803,-0.0059,0.935314,0.47663,0.330726,0.703074,-0.520399,-0.354249,0.070058,0.949967,0.492705,0.139963,0.384442,-0.175483,-0.895444,0.23164,0.695903,0.445806,0.000517,0.479304,0.0145,-0.877529,0.117503,0.623916,0.336912,0.380938,0.774472,0.491865,0.114665,-0.135488,0.498192,0.554858,0.048218,0.998118,-0.037858,0.001449,-0.296287,0.422076,0.268728,-0.021499,0.987817,-0.018799,-0.15298,-0.328474,0.050325,0.300246,-0.440341,0.846929,0.159856,0.251512,0.018783,0.509635,0.619157,0.045426,0.762902,-0.40912,0.498536,0.297182,0.320587,0.602556,-0.012742,0.804772,-0.16091,0.571216,0.111002,0.076341,0.819336,-0.002871,0.992526,0.001149,-0.121996,-0.363721,-0.009525,0.182236,-0.119124,0.85652,-0.055562,0.499095,0.218141,-0.00598,0.797084
5,0.041667,-0.017871,0.976398,-0.084286,0.19805,-0.058297,0.503952,0.586866,0.010301,0.984414,-0.100635,0.143857,-0.058401,0.571617,0.575075,0.005443,0.974337,-0.189338,0.121613,-0.048887,0.76089,0.537363,-0.09369,0.990116,0.073927,-0.073677,-0.036817,0.958635,0.459045,0.038167,0.966436,0.066586,-0.245177,-0.059787,1.07494,0.463043,0.103984,0.977289,-0.110961,0.147583,-0.070786,0.932973,0.460598,0.107023,0.882773,-0.212338,0.405179,-0.144647,0.946444,0.435983,0.299073,0.780426,-0.157234,0.526088,-0.342337,0.951589,0.204145,-0.491774,-0.536797,-0.084923,-0.680291,-0.389323,1.006555,0.039092,-0.068878,0.966161,-0.217653,0.120063,-0.005881,0.935344,0.476587,0.329773,0.701983,-0.521944,-0.355026,0.070102,0.949989,0.492549,0.141787,0.38504,-0.172876,-0.895408,0.231732,0.695972,0.445561,0.002335,0.478176,0.013201,-0.878162,0.117455,0.624529,0.336401,0.381344,0.774423,0.491492,0.115247,-0.135435,0.498232,0.554723,0.048219,0.998113,-0.037986,0.001524,-0.29627,0.422078,0.268623,-0.021399,0.987812,-0.018942,-0.153004,-0.328458,0.050357,0.300235,-0.440257,0.846897,0.160018,0.251662,0.018842,0.509671,0.619009,0.045391,0.763103,-0.408632,0.498631,0.297227,0.320609,0.602349,-0.013516,0.803483,-0.161195,0.572929,0.111257,0.075949,0.818831,-0.002804,0.992517,0.00107,-0.122073,-0.363718,-0.009524,0.182245,-0.122291,0.85642,-0.054321,0.498637,0.218608,-0.006248,0.797148
6,0.05,-0.018714,0.976377,-0.085227,0.197671,-0.058031,0.50418,0.587,0.009976,0.984461,-0.100688,0.143521,-0.058226,0.571819,0.57506,0.005519,0.974381,-0.189283,0.121341,-0.048853,0.76095,0.537335,-0.093484,0.990101,0.07416,-0.073905,-0.036776,0.958703,0.45904,0.038087,0.966347,0.066836,-0.245469,-0.059706,1.075062,0.463097,0.104025,0.97732,-0.111017,0.147306,-0.070751,0.933049,0.460606,0.106834,0.882919,-0.212282,0.404942,-0.144623,0.94653,0.436032,0.298874,0.780645,-0.156787,0.526009,-0.342455,0.951628,0.204314,-0.492006,-0.536895,-0.084132,-0.680144,-0.389506,1.006611,0.039387,-0.068882,0.966262,-0.217448,0.119623,-0.005837,0.935402,0.476563,0.329694,0.702609,-0.521007,-0.355238,0.070163,0.95003,0.492461,0.140762,0.384343,-0.172843,-0.895875,0.231732,0.696057,0.445033,0.002367,0.477555,0.013224,-0.878499,0.117299,0.624814,0.336028,0.380774,0.774547,0.491848,0.114778,-0.135189,0.498296,0.554934,0.048741,0.998093,-0.037839,0.001724,-0.295886,0.422085,0.268772,-0.021155,0.987827,-0.018963,-0.152938,-0.328462,0.05037,0.300246,-0.439762,0.847383,0.159595,0.251158,0.019127,0.510063,0.619065,0.04591,0.763691,-0.408609,0.497702,0.297248,0.320616,0.602361,-0.013558,0.803494,-0.16132,0.572878,0.111269,0.075961,0.818851,-0.0028,0.992408,0.005672,-0.122824,-0.363733,-0.009508,0.182257,-0.122364,0.85647,-0.054409,0.498523,0.21861,-0.006251,0.797177
7,0.058333,-0.017932,0.976379,-0.084223,0.198162,-0.058222,0.504049,0.586624,0.010405,0.98453,-0.100097,0.143436,-0.058334,0.571716,0.574839,0.005528,0.974406,-0.189377,0.120993,-0.048829,0.760979,0.537341,-0.093056,0.990095,0.074489,-0.074193,-0.036772,0.958717,0.459005,0.038011,0.966241,0.06691,-0.24588,-0.059607,1.075133,0.463141,0.104394,0.977342,-0.111023,0.146895,-0.07075,0.933069,0.460599,0.106732,0.883018,-0.212259,0.404764,-0.14463,0.946615,0.436081,0.298875,0.780703,-0.156468,0.526017,-0.342562,0.951692,0.204448,-0.491934,-0.537144,-0.084335,-0.679974,-0.389599,1.006735,0.039561,-0.069014,0.965978,-0.218735,0.119495,-0.005825,0.935414,0.47651,0.329951,0.703999,-0.519025,-0.355149,0.070177,0.950079,0.492365,0.140882,0.383479,-0.172788,-0.896237,0.231682,0.696173,0.444358,0.002693,0.477022,0.012448,-0.878799,0.117046,0.625007,0.335632,0.381296,0.774498,0.491382,0.115368,-0.135352,0.49832,0.554464,0.048377,0.998092,-0.038334,0.001706,-0.29615,0.422068,0.268369,-0.021039,0.987834,-0.019024,-0.152906,-0.328467,0.050377,0.300233,-0.440415,0.846806,0.160392,0.251453,0.018909,0.509778,0.618784,0.045076,0.7623,-0.409413,0.499248,0.297398,0.32089,0.601885,-0.013379,0.803467,-0.161328,0.572918,0.111278,0.075998,0.818845,-0.002518,0.992517,0.000874,-0.122076,-0.363742,-0.009511,0.182251,-0.122215,0.856487,-0.05443,0.498528,0.2186,-0.00624,0.797172
8,0.066667,-0.016742,0.976395,-0.085074,0.197827,-0.05826,0.50435,0.58677,0.010172,0.984563,-0.100584,0.142878,-0.058193,0.572002,0.574905,0.00609,0.974475,-0.189308,0.120517,-0.048781,0.761026,0.537246,-0.093542,0.990003,0.074729,-0.074557,-0.036533,0.958772,0.45896,0.037782,0.966205,0.067261,-0.245962,-0.059499,1.075257,0.463173,0.104156,0.977647,-0.110042,0.145766,-0.070542,0.933167,0.460571,0.10657,0.883107,-0.212144,0.404672,-0.144481,0.946723,0.43624,0.298645,0.780945,-0.15625,0.525854,-0.34248,0.951759,0.204664,-0.491862,-0.537551,-0.084567,-0.679676,-0.38967,1.006846,0.039721,-0.069526,0.9661,-0.217606,0.120268,-0.005602,0.935425,0.476436,0.329879,0.704336,-0.518206,-0.355744,0.07036,0.950175,0.492406,0.1404,0.382926,-0.172704,-0.896565,0.231636,0.696221,0.443883,0.002012,0.476582,0.012811,-0.879034,0.116868,0.625189,0.335315,0.381374,0.774796,0.490551,0.11664,-0.135419,0.498792,0.55465,0.048576,0.998093,-0.038056,0.001812,-0.295978,0.42203,0.268558,-0.021189,0.987804,-0.019196,-0.153054,-0.328434,0.05039,0.300209,-0.440228,0.846955,0.160479,0.251223,0.0189,0.509908,0.618891,0.045129,0.762531,-0.409384,0.498913,0.297316,0.320927,0.601826,-0.013211,0.803413,-0.161349,0.572992,0.111275,0.076013,0.818827,-0.002809,0.992399,0.005635,-0.122902,-0.363725,-0.009547,0.182256,-0.122118,0.856463,-0.054376,0.498599,0.218579,-0.006251,0.797168
9,0.075,-0.016754,0.976403,-0.084988,0.197822,-0.058223,0.504388,0.586633,0.010251,0.984579,-0.100419,0.142882,-0.05816,0.572043,0.574779,0.005812,0.974535,-0.189024,0.120488,-0.048729,0.761052,0.537191,-0.092818,0.990075,0.074688,-0.074557,-0.036612,0.958845,0.459005,0.037759,0.966122,0.067447,-0.246239,-0.059411,1.075365,0.463197,0.104421,0.977668,-0.109186,0.146082,-0.070606,0.933218,0.460608,0.106381,0.883207,-0.212112,0.404521,-0.144522,0.94683,0.436238,0.298499,0.780994,-0.155514,0.526081,-0.342621,0.951798,0.204745,-0.491674,-0.538045,-0.084879,-0.679382,-0.389729,1.006956,0.039875,-0.06941,0.966528,-0.216632,0.118647,-0.005665,0.935507,0.476463,0.329568,0.70346,-0.519023,-0.356572,0.070361,0.95017,0.492208,0.137656,0.382072,-0.173756,-0.897152,0.231402,0.696087,0.443586,-0.000186,0.476761,0.013343,-0.878932,0.116483,0.625058,0.335088,0.381758,0.773754,0.491864,0.116774,-0.135382,0.498831,0.554514,0.048425,0.998048,-0.039385,0.001763,-0.295726,0.423136,0.268016,-0.021116,0.987796,-0.019306,-0.153102,-0.328414,0.05041,0.300188,-0.44001,0.847295,0.159421,0.251133,0.018937,0.509945,0.618753,0.045448,0.763475,-0.408755,0.497956,0.297141,0.320608,0.602193,-0.013288,0.803465,-0.161466,0.572884,0.111297,0.076026,0.818854,-0.002726,0.992397,0.005535,-0.122927,-0.363722,-0.009551,0.182253,-0.12215,0.856518,-0.054509,0.498483,0.218592,-0.006249,0.797189
