Frame,Time (Seconds),X.3,Y.3,Z.3
0,0.0,0.55803,0.807452,0.687555
1,0.008333,0.558607,0.808288,0.687858
2,0.016667,0.558053,0.807602,0.687879
3,0.025,0.557828,0.8073,0.688261
4,0.033333,0.558407,0.808139,0.688678
5,0.041667,0.558575,0.808078,0.688853
6,0.05,0.558759,0.808035,0.689047
7,0.058333,0.558368,0.807737,0.688745
8,0.066667,0.558491,0.807758,0.688888
9,0.075,0.559011,0.807533,0.689079
10,0.083333,0.559133,0.807669,0.689185
11,0.091667,0.559904,0.80844,0.689493
12,0.1,0.559551,0.807718,0.689435
13,0.108333,0.559776,0.80776,0.68957
14,0.116667,0.560016,0.807796,0.689715
15,0.125,0.560275,0.807811,0.689865
16,0.133333,0.560529,0.807848,0.690015
17,0.141667,0.561395,0.808127,0.690579
18,0.15,0.561725,0.808062,0.690849
19,0.158333,0.561953,0.808072,0.690995
20,0.166667,0.562424,0.808476,0.690874
21,0.175,0.562827,0.808389,0.69107
22,0.183333,0.563328,0.808231,0.691244
23,0.191667,0.563703,0.80804,0.691276
24,0.2,0.563952,0.808019,0.691355
25,0.208333,0.564056,0.80821,0.691486
26,0.216667,0.564306,0.808186,0.691589
27,0.225,0.564634,0.807536,0.691974
28,0.233333,0.564818,0.808008,0.691741
29,0.241667,0.565027,0.808004,0.691866
30,0.25,0.565256,0.807978,0.691989
31,0.258333,0.565744,0.807834,0.692177
32,0.266667,0.565981,0.807361,0.692611
33,0.275,0.566299,0.807331,0.692703
34,0.283333,0.566541,0.807344,0.692837
35,0.291667,0.566817,0.807354,0.692948
36,0.3,0.567122,0.807349,0.693046
37,0.308333,0.567436,0.807343,0.693154
38,0.316667,0.567727,0.807349,0.693255
39,0.325,0.56893,0.807095,0.693527
40,0.333333,0.569523,0.806812,0.693677
41,0.341667,0.568877,0.807084,0.693612
42,0.35,0.569091,0.807064,0.69372
43,0.358333,0.569383,0.807069,0.693809
44,0.366667,0.570172,0.807067,0.69404
45,0.375,0.569634,0.807302,0.693897
46,0.383333,0.569912,0.8073,0.693976
47,0.391667,0.570858,0.807118,0.694231
48,0.4,0.570343,0.807326,0.69409
49,0.408333,0.571338,0.807184,0.694254
50,0.416667,0.571646,0.807128,0.694118
51,0.425,0.572146,0.806902,0.694213
52,0.433333,0.572033,0.80713,0.694181
53,0.441667,0.572171,0.807148,0.6942
54,0.45,0.572675,0.806922,0.694281
55,0.458333,0.572547,0.807155,0.694239
56,0.466667,0.571831,0.807352,0.694135
57,0.475,0.57196,0.807373,0.694147
58,0.483333,0.572098,0.807377,0.694156
59,0.491667,0.572185,0.807407,0.694149
60,0.5,0.573312,0.807168,0.69425
61,0.508333,0.573425,0.807181,0.694246
62,0.516667,0.572494,0.807463,0.694146
63,0.525,0.572623,0.80746,0.694137
64,0.533333,0.572668,0.807494,0.694143
65,0.541667,0.572803,0.807482,0.694143
66,0.55,0.57293,0.80747,0.694138
67,0.558333,0.573302,0.807261,0.694202
68,0.566667,0.573423,0.807249,0.694203
69,0.575,0.573241,0.807461,0.694158
70,0.583333,0.573589,0.807236,0.694228
71,0.591667,0.573705,0.807209,0.694234
72,0.6,0.57378,0.807197,0.694239
73,0.608333,0.573778,0.807219,0.694255
74,0.616667,0.573901,0.80718,0.694249
75,0.625,0.573721,0.807368,0.694203
76,0.633333,0.573723,0.80738,0.694223
77,0.641667,0.57406,0.807148,0.6943
78,0.65,0.573831,0.807346,0.694256
79,0.658333,0.573867,0.807318,0.694272
80,0.666667,0.574148,0.807107,0.694347
81,0.675,0.574225,0.807064,0.694357
82,0.683333,0.574252,0.807038,0.694345
83,0.691667,0.574181,0.807072,0.694366
84,0.7,0.574187,0.80706,0.694375
85,0.708333,0.574233,0.807028,0.694383
