Frame,Time (Seconds),X.3,Y.3,Z.3
0,0.0,0.057791,0.735294,0.278585
1,0.008333,0.057557,0.735299,0.275968
2,0.016667,0.057308,0.735532,0.273393
3,0.025,0.057108,0.735786,0.270979
4,0.033333,0.056964,0.735169,0.268147
5,0.041667,0.056964,0.735314,0.266209
6,0.05,0.056942,0.735483,0.264254
7,0.058333,0.056852,0.735643,0.262466
8,0.066667,0.056844,0.735761,0.260751
9,0.075,0.056814,0.735755,0.259254
10,0.083333,0.056813,0.735644,0.257951
11,0.091667,0.056809,0.735483,0.256852
12,0.1,0.056816,0.735182,0.255986
13,0.108333,0.056865,0.734841,0.255323
14,0.116667,0.0569,0.734328,0.254811
15,0.125,0.056983,0.733797,0.254508
16,0.133333,0.057107,0.734039,0.254808
17,0.141667,0.05729,0.733417,0.254703
18,0.15,0.057474,0.732929,0.25452
19,0.158333,0.057825,0.732256,0.254612
20,0.166667,0.05814,0.731723,0.254616
21,0.175,0.05844,0.731236,0.254678
22,0.183333,0.058735,0.730795,0.2548
23,0.191667,0.058995,0.730378,0.255025
24,0.2,0.05923,0.730031,0.255278
25,0.208333,0.059425,0.729565,0.255774
26,0.216667,0.059628,0.729201,0.256291
27,0.225,0.059829,0.728892,0.256888
28,0.233333,0.060016,0.728622,0.257561
29,0.241667,0.060227,0.728471,0.258226
30,0.25,0.060463,0.72834,0.259026
31,0.258333,0.060655,0.728278,0.259851
32,0.266667,0.060865,0.728266,0.260729
33,0.275,0.06108,0.7283,0.261605
34,0.283333,0.061288,0.728407,0.262515
35,0.291667,0.061487,0.728586,0.263426
36,0.3,0.06165,0.728774,0.264377
37,0.308333,0.061813,0.729002,0.265342
38,0.316667,0.061961,0.729315,0.266284
39,0.325,0.062102,0.729577,0.26728
40,0.333333,0.062224,0.729938,0.268297
41,0.341667,0.062355,0.730236,0.269337
42,0.35,0.062472,0.730632,0.270355
43,0.358333,0.062571,0.731004,0.271382
44,0.366667,0.062652,0.731394,0.272439
45,0.375,0.062773,0.731775,0.273471
46,0.383333,0.062832,0.732182,0.274495
47,0.391667,0.062865,0.732439,0.275542
48,0.4,0.062566,0.73209,0.276816
49,0.408333,0.063825,0.731754,0.277594
50,0.416667,0.064057,0.731966,0.278562
51,0.425,0.063447,0.73287,0.279713
52,0.433333,0.063064,0.73433,0.280438
53,0.441667,0.062693,0.733813,0.281905
54,0.45,0.062875,0.733993,0.282804
55,0.458333,0.062889,0.734195,0.283725
56,0.466667,0.06317,0.734296,0.284509
57,0.475,0.063061,0.734645,0.28538
58,0.483333,0.063028,0.734803,0.286376
59,0.491667,0.062944,0.734931,0.287299
60,0.5,0.062847,0.734986,0.288253
61,0.508333,0.062828,0.735068,0.289139
62,0.516667,0.062679,0.735123,0.290097
63,0.525,0.062526,0.735146,0.291067
64,0.533333,0.062472,0.735202,0.29194
65,0.541667,0.062325,0.735179,0.292841
66,0.55,0.061812,0.735516,0.294097
67,0.558333,0.062044,0.735163,0.294574
68,0.566667,0.061529,0.735506,0.295769
69,0.575,0.06171,0.735065,0.296195
70,0.583333,0.061553,0.734973,0.297018
71,0.591667,0.06131,0.734861,0.297804
72,0.6,0.060756,0.73514,0.298961
73,0.608333,0.060622,0.735099,0.299701
74,0.616667,0.060391,0.735008,0.300467
75,0.625,0.060353,0.735221,0.30073
76,0.633333,0.060325,0.734437,0.301502
77,0.641667,0.06011,0.734414,0.302164
78,0.65,0.059855,0.734385,0.302829
79,0.658333,0.059562,0.734356,0.303427
80,0.666667,0.058938,0.734779,0.304385
81,0.675,0.05866,0.734882,0.304912
82,0.683333,0.058309,0.734914,0.305463
83,0.691667,0.058225,0.735323,0.305481
84,0.7,0.057851,0.735431,0.306024
85,0.708333,0.057519,0.735591,0.306415
86,0.716667,0.05693,0.735379,0.307358
87,0.725,0.056537,0.735551,0.307751
88,0.733333,0.056083,0.735623,0.308212
89,0.741667,0.055894,0.736107,0.308063
90,0.75,0.055383,0.736263,0.30847
91,0.758333,0.054954,0.736464,0.308788
92,0.766667,0.054518,0.736574,0.309118
93,0.775,0.05382,0.736411,0.309874
94,0.783333,0.053221,0.736477,0.31018
95,0.791667,0.052963,0.737068,0.309944
96,0.8,0.052454,0.737164,0.310204
97,0.808333,0.05189,0.737339,0.310392
98,0.816667,0.051369,0.737509,0.310583
99,0.825,0.050842,0.737719,0.310837
100,0.833333,0.050253,0.737781,0.310979
101,0.841667,0.049714,0.737932,0.311202
102,0.85,0.049122,0.737985,0.311352
103,0.858333,0.048572,0.738074,0.311521
104,0.866667,0.047967,0.738188,0.311702
105,0.875,0.047162,0.737798,0.312313
106,0.883333,0.046816,0.738099,0.311856
107,0.891667,0.046065,0.737889,0.312492
108,0.9,0.045982,0.737444,0.312373
109,0.908333,0.045551,0.737424,0.312519
110,0.916667,0.044606,0.738145,0.312841
111,0.925,0.044103,0.738419,0.312635
112,0.933333,0.043612,0.738371,0.312931
113,0.941667,0.043006,0.738553,0.312917
114,0.95,0.042444,0.738639,0.313166
115,0.958333,0.041906,0.738665,0.313302
116,0.966667,0.041371,0.738743,0.313494
117,0.975,0.040814,0.73885,0.313776
118,0.983333,0.040261,0.738854,0.313897
119,0.991667,0.039743,0.738942,0.31411
120,1.0,0.039217,0.739046,0.314352
121,1.008333,0.038703,0.73912,0.314442
122,1.016667,0.038208,0.739213,0.314857
123,1.025,0.03769,0.739265,0.314993
124,1.033333,0.037199,0.739343,0.315169
125,1.041667,0.036712,0.739415,0.315417
126,1.05,0.036265,0.739545,0.315636
127,1.058333,0.035828,0.739704,0.315946
128,1.066667,0.035316,0.739814,0.316226
129,1.075,0.034857,0.739951,0.316419
130,1.083333,0.03445,0.74008,0.316709
131,1.091667,0.033987,0.740172,0.317003
132,1.1,0.033537,0.740425,0.317199
133,1.108333,0.033109,0.740635,0.317498
134,1.116667,0.032715,0.740866,0.317787
135,1.125,0.032209,0.740577,0.318193
136,1.133333,0.031813,0.740749,0.318457
137,1.141667,0.031437,0.741344,0.318632
138,1.15,0.031014,0.74151,0.318907
139,1.158333,0.030424,0.741289,0.319593
140,1.166667,0.030278,0.741778,0.319333
141,1.175,0.029894,0.741953,0.319627
142,1.183333,0.029298,0.741733,0.320384
143,1.191667,0.029106,0.742203,0.320276
144,1.2,0.028704,0.742243,0.320522
145,1.208333,0.028342,0.74245,0.320786
146,1.216667,0.028,0.742558,0.32106
147,1.225,0.027631,0.74266,0.321334
148,1.233333,0.027269,0.742752,0.321611
149,1.241667,0.026891,0.742842,0.321897
150,1.25,0.026546,0.742943,0.322203
151,1.258333,0.026192,0.743003,0.322457
152,1.266667,0.025825,0.743054,0.322687
153,1.275,0.025487,0.743141,0.322934
154,1.283333,0.025133,0.743201,0.323196
155,1.291667,0.024795,0.743254,0.323437
156,1.3,0.024435,0.743362,0.323754
157,1.308333,0.02415,0.743406,0.323862
158,1.316667,0.023755,0.743508,0.32417
159,1.325,0.023399,0.74355,0.324355
160,1.333333,0.023042,0.743597,0.324542
161,1.341667,0.022691,0.743628,0.324745
162,1.35,0.022336,0.743697,0.324901
163,1.358333,0.021935,0.743728,0.325056
164,1.366667,0.0216,0.743705,0.325272
165,1.375,0.021179,0.743283,0.325523
166,1.383333,0.020955,0.74381,0.325545
167,1.391667,0.020614,0.743872,0.325655
168,1.4,0.020286,0.743855,0.325797
169,1.408333,0.020021,0.743958,0.325787
170,1.416667,0.019533,0.74353,0.326129
171,1.425,0.019323,0.744018,0.326005
172,1.433333,0.01901,0.744041,0.326135
173,1.441667,0.018652,0.744064,0.326335
174,1.45,0.018321,0.744066,0.326532
175,1.458333,0.017968,0.744033,0.326737
176,1.466667,0.017688,0.743989,0.326793
177,1.475,0.017321,0.743976,0.327089
178,1.483333,0.016945,0.743875,0.327341
179,1.491667,0.016311,0.7435,0.328179
180,1.5,0.016321,0.743027,0.328158
181,1.508333,0.015719,0.743707,0.328502
182,1.516667,0.015377,0.742858,0.329098
183,1.525,0.014417,0.743076,0.330041
184,1.533333,0.014034,0.743312,0.330186
185,1.541667,0.013562,0.742482,0.330949
186,1.55,0.012699,0.743152,0.331626
187,1.558333,0.012262,0.742241,0.332516
188,1.566667,0.011119,0.742884,0.333265
189,1.575,0.009933,0.742382,0.334319
190,1.583333,0.009189,0.74283,0.335108
191,1.591667,0.008445,0.742468,0.335796
192,1.6,0.007091,0.742966,0.337374
193,1.608333,0.006249,0.741892,0.338075
194,1.616667,0.004932,0.741988,0.338632
195,1.625,0.00409,0.742747,0.339937
196,1.633333,0.002852,0.74282,0.341146
197,1.641667,0.00155,0.743005,0.342426
198,1.65,0.000549,0.743392,0.343452
199,1.658333,-0.000533,0.743733,0.344776
200,1.666667,-0.001923,0.743341,0.345801
201,1.675,-0.003081,0.745056,0.348041
202,1.683333,-0.004099,0.744494,0.348216
203,1.691667,-0.004965,0.745164,0.349178
204,1.7,-0.005907,0.745774,0.35019
205,1.708333,-0.006636,0.74639,0.351051
206,1.716667,-0.007453,0.747348,0.352043
207,1.725,-0.008109,0.74813,0.35302
208,1.733333,-0.008954,0.748715,0.35349
209,1.741667,-0.009042,0.749907,0.354331
210,1.75,-0.009253,0.75075,0.354824
211,1.758333,-0.009778,0.751268,0.354823
212,1.766667,-0.009648,0.751906,0.354943
213,1.775,-0.009414,0.752464,0.355051
214,1.783333,-0.008599,0.752999,0.355368
215,1.791667,-0.007914,0.753205,0.355253
216,1.8,-0.007655,0.753048,0.354802
217,1.808333,-0.006441,0.752934,0.354564
218,1.816667,-0.005596,0.752392,0.354071
219,1.825,-0.004544,0.751522,0.353358
220,1.833333,-0.003298,0.750301,0.352566
221,1.841667,-0.001954,0.748635,0.351712
222,1.85,-0.000464,0.746604,0.350757
