Frame,Time (Seconds),X.3,Y.3,Z.3
0,0.0,-0.072678,0.741437,1.67665
1,0.008333,-0.072563,0.741908,1.67614
2,0.016667,-0.0724,0.742402,1.675695
3,0.025,-0.072266,0.742871,1.675291
4,0.033333,-0.072149,0.743263,1.674918
5,0.041667,-0.071975,0.743688,1.674605
6,0.05,-0.07185,0.744071,1.674342
7,0.058333,-0.071749,0.744442,1.674151
8,0.066667,-0.071658,0.744783,1.674016
9,0.075,-0.071589,0.74512,1.673967
10,0.083333,-0.071542,0.745433,1.673996
11,0.091667,-0.071513,0.745669,1.674083
12,0.1,-0.071482,0.74589,1.674288
13,0.108333,-0.071455,0.746065,1.674569
14,0.116667,-0.07139,0.746209,1.674945
15,0.125,-0.071354,0.746264,1.675397
16,0.133333,-0.071322,0.746307,1.67593
17,0.141667,-0.071316,0.746229,1.676563
18,0.15,-0.071306,0.746102,1.677253
19,0.158333,-0.071353,0.745944,1.678099
20,0.166667,-0.071357,0.745666,1.678936
21,0.175,-0.07137,0.745286,1.679824
22,0.183333,-0.0714,0.744869,1.680831
23,0.191667,-0.071461,0.744347,1.681944
24,0.2,-0.071488,0.743773,1.683091
25,0.208333,-0.071522,0.743014,1.6842
26,0.216667,-0.071594,0.742284,1.685465
27,0.225,-0.07167,0.741516,1.686772
28,0.233333,-0.0717,0.74049,1.687993
29,0.241667,-0.071759,0.739571,1.689367
30,0.25,-0.071823,0.738515,1.690674
31,0.258333,-0.071883,0.737563,1.69212
32,0.266667,-0.071956,0.736453,1.693566
33,0.275,-0.071939,0.735409,1.695006
34,0.283333,-0.072005,0.734334,1.696486
35,0.291667,-0.072028,0.733236,1.698018
36,0.3,-0.072082,0.732105,1.699653
37,0.308333,-0.071981,0.730882,1.701107
38,0.316667,-0.072036,0.729796,1.702698
39,0.325,-0.072,0.728724,1.704433
40,0.333333,-0.071988,0.72763,1.706101
41,0.341667,-0.071986,0.726761,1.707838
42,0.35,-0.071897,0.72545,1.70925
43,0.358333,-0.071882,0.7244,1.710857
44,0.366667,-0.071856,0.723467,1.712502
45,0.375,-0.071851,0.722474,1.714041
46,0.383333,-0.071827,0.721499,1.715618
47,0.391667,-0.071757,0.720572,1.717168
48,0.4,-0.071655,0.719629,1.718698
49,0.408333,-0.07161,0.718714,1.720265
50,0.416667,-0.071718,0.717587,1.721588
51,0.425,-0.071675,0.71666,1.72313
52,0.433333,-0.071627,0.715799,1.724692
53,0.441667,-0.071552,0.714821,1.726154
54,0.45,-0.07157,0.713917,1.727659
55,0.458333,-0.071572,0.713044,1.729192
56,0.466667,-0.071515,0.712146,1.730498
57,0.475,-0.071511,0.711339,1.731895
58,0.483333,-0.071505,0.710605,1.733302
59,0.491667,-0.071514,0.709802,1.734667
60,0.5,-0.071429,0.709132,1.736082
61,0.508333,-0.071399,0.708361,1.737479
62,0.516667,-0.07137,0.707682,1.738913
63,0.525,-0.071279,0.707133,1.739992
64,0.533333,-0.071238,0.706552,1.741282
65,0.541667,-0.071155,0.705904,1.742497
66,0.55,-0.071188,0.705385,1.743713
